Site Code,Latitude,Longitude,PhysicalAddressCounty,Call Group,Owner,Cluster_ID
BAX,31.783309,-82.340394,Appling,FO-GA-SE-BAXLEY,GPC,16
BAY,30.879226,-87.775652,Baldwin,FO-AL-MOBILE SOUTHEAST,APC,6
BCA,32.377861,-86.296199,Montgomery,FO-AL-MONTGOMERY EAST,APC,1
BCC,33.24376,-81.36484,Barnwell,FO-GA-SE-AUGUSTA 1,SOGAS,31
BCK,31.18723,-87.70483,Baldwin,FO-AL-MOBILE NORTHEAST,APC,32
BCS,32.0786,-81.09051,Chatham,FO-GA-SE-SAVANNAH 1,GPC,5
BCT,32.041161,-81.144223,Chatham,FO-GA-SE-SAVANNAH 1,GPC,5
BDH,33.515445,-86.820027,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
BDO,31.202997,-81.494753,Glynn,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
BDR,35.96821,-114.90605,Clark,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,34
BDS,33.5148,-86.81838,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
BE6,31.00573,-88.01083,Mobile,FO-AL-MOBILE BARRY,APC,6
BE7,31.005794,-88.010451,Mobile,FO-AL-MOBILE BARRY,APC,6
BEC,31.73962,-87.18712,Monroe,FO-AL-MOBILE NORTHEAST,APC,35
BEE,38.10997,-80.56607,,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,36
BEK,33.6637556,-87.9144056,BELK,FO-AL-FAYETTE,APC,1
BEL,33.753975,-84.266752,Dekalb,FO-GA-NE-METRO SOUTHEAST,GPC,1
BEM,30.856722,-83.207233,Lowndes,FO-GA-SW-VALDOSTA,GPC,2
BEN,31.076631,-83.620767,Colquitt,FO-GA-SW-VALDOSTA,GPC,37
BER,33.682783,-87.538492,Fayette,FO-AL-MILLER SP,APC,1
BES,33.38026,-86.94415,Jefferson,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
BET,39.37881,-77.41575,Frederick,FO-GA-SE-NATIONAL,SOGAS,38
BEV,41.80963,-88.27389,Kane,FO-GA-SE-ILLINOIS-NORTH,SOGAS,29
BEW,31.1056,-87.035,Escambia,FO-AL-MOBILE NORTHEAST,APC,6
BFG,33.5647,-86.852162,Jefferson,FO-AL-BIRMINGHAM NORTHWEST,APC,1
BFO,32.666818,-85.082159,Harris,FO-GA-SW-COLUMBUS,GPC,1
BGA,34.307122,-84.419714,Cherokee,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
BGG,32.0526417,-86.8103806,BRAGGS,FO-AL-MONTGOMERY WEST,APC,39
BGP,34.874414,-85.461799,Dade,FO-GA-NW-FLOYD & NORTH,GPC,1
BGT,33.9473306,-83.4834,,FO-GA-NE-ATHENS EAST,GPC,1
BH1,33.518603,-86.812287,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
BH2,33.518603,-86.812287,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
BH3,33.518603,-86.812287,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
BH4,33.518603,-86.812287,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
BIG,32.655183,-86.766628,Autauga,FO-AL-MONTGOMERY WEST,APC,1
BIL,30.39738,-88.88493,Harrison,FO-MS-O-SOUTH,MPC,6
BJC,33.524832,-86.811851,Jefferson,FO-AL-BIRMINGHAM DOWNTOWN NORTH,APC,1
BKE,33.08417,-82.04389,Burke,FO-GA-SE-AUGUSTA 2,GPC,1
BKL,33.9828778,-84.2088083,BERKELEY LAKE,FO-GA-NE-CUMMING,GPC,1
BKM,30.98694,-86.71889,Okaloosa,FO-AL-DOTHAN WEST,SOLINC,40
BKS,33.62515,-87.669878,BANKSTON,FO-AL-FAYETTE,APC,1
BKT,31.5937,-88.5432,,FO-MS-O-NORTH CENTRAL,MPC,6
BKW,35.618738,-119.854107,KERN,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,41
BKY,31.0732944,-89.2251333,Forrest,FO-MS-O-CENTRAL,MPC,6
BLA,31.365153,-84.926687,Early,FO-GA-SW-BAINBRIDGE,GPC,17
BLC,31.338178,-82.208091,Pierce,FO-GA-SE-WAYCROSS,GPC,42
BLD,31.508553,-81.396471,McIntosh,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,43
BLE,32.58889,-85.19528,Lee,FO-AL-PHENIX CITY,APC,1
BLF,33.422469,-86.846001,Jefferson,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
BLG,34.3413806,-84.3869389,,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
BLK,34.01979,-84.516082,Cobb,FO-GA-NW-COBB,GPC,1
BLL,32.4625583,-88.1180028,,FO-AL-DEMOPOLIS,APC,6
BLM,40.49517,-89.020187,McLean,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,44
BLT,30.4214,-88.2453,Mobile,FO-AL-MOBILE SOUTHWEST,APC,6
BLU,32.7459333,-82.3937028,BLUNDALE,FO-GA-SE-BAXLEY,GPC,45
BLX,30.409417,-88.8935,,FO-MS-O-SOUTH,MPC,6
BLY,31.402336,-84.9592,Early,FO-GA-SW-BAINBRIDGE,GPC,17
BMA,40.668491,-75.374203,NORTHAMPTON,FO-GA-SE-NATIONAL,SCS,46
BME,33.682817,-85.164751,Carroll,FO-GA-NW-CARROLL/HEARD/DOUGLAS,GPC,1
BMH,33.5142,-86.8178,Jefferson,FO-AL-BIRMINGHAM NORTH,APC,1
BMN,30.881339,-87.793921,Baldwin,FO-AL-SOUTH-MOBILE BLT HUB,APC,6
BMS,33.175621,-86.774021,Shelby,FO-AL-BIRMINGHAM SOUTH,APC,1
BMT,30.080174,-94.126556,Jefferson,FO-GA-SE-NATIONAL,SOGAS,47
BMX,32.86309,-96.77078,Dallas,FO-GA-SE-NATIONAL,SOGAS,48
BNA,32.327866,-84.522055,Marion,FO-GA-SW-AMERICUS,GPC,49
BNB,30.913971,-84.603277,Decatur,FO-GA-SW-BAINBRIDGE,GPC,30
BND,30.8582,-88.8083806,,FO-MS-O-CENTRAL,MPC,50
BNV,31.9111167,-84.7722417,BENEVOLENCE,FO-GA-SW-AMERICUS,GPC,1
BOA,34.1895,-86.1518,Marshall,FO-AL-ALBERTVILLE,APC,1
BOD,33.557496,-85.220098,Carroll,FO-GA-NW-CARROLL/HEARD/DOUGLAS,GPC,1
BOE,34.6167,-87.0664,Morgan,FO-AL-BIRMINGHAM NORTH,SOLINC,1
BOR,34.360472,-83.090333,Hart,FO-GA-NE-GAINESVILLE,GPC,1
BOS,33.71338,-83.485045,Morgan,FO-GA-NE-ATHENS WEST,GPC,51
BOW,34.12511,-84.922428,Bartow,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
BOX,32.5662222,-84.6840556,BOX SPRINGS,FO-GA-SW-COLUMBUS,GPC,1
BRA,33.194725,-83.295686,Putnam,FO-GA-SW-MACON-EAST,GPC,1
BRB,30.4125,-87.24277,Escambia,FO-FL-FPL SERVICE DESK BLT HUB 1,NextEra,6
BRD,33.2535,-87.3255,Tuscaloosa,FO-AL-TUSCALOOSA,APC,1
BRG,31.697678,-85.828125,Pike,FO-AL-EUFAULA,APC,11
BRK,34.1611,-86.4966,Blount,FO-AL-ALBERTVILLE,APC,1
BRL,32.39841,-81.70249,Bulloch,FO-GA-SE-SAVANNAH 2,GPC,5
BRM,33.89245,-86.83552,Blount,FO-AL-BIRMINGHAM NORTH,APC,1
BRN,31.242624,-81.536314,Glynn,FO-GA-SE-HINESVILLE-BRUNSWICK,SOGAS,33
BRO,33.867639,-84.333694,Dekalb,FO-GA-NE-METRO NORTHEAST,GPC,1
BRS,34.092853,-83.769735,Jackson,FO-GA-NE-GAINESVILLE,GPC,1
BRT,31.5413,-86.2373,Crenshaw,FO-AL-DOTHAN WEST,APC,52
BRU,31.202992,-81.494801,Glynn,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
BRV,28.289237,-80.698327,Brevard,FO*-NEE-FCG Contacts,SOGAS,53
BRW,31.125842,-87.078333,Escambia,FO-AL-MOBILE NORTHEAST,APC,6
BRY,30.9244,-87.0549,Santa Rosa,FO-FL-NEXTERA ENERGY,SOLINC,6
BSC,30.40083,-88.86833,Harrison,FO-MS-O-SOUTH,MPC,6
BSF,31.489431,-89.730597,Jefferson Davis,FO-MS-O-CENTRAL,MPC,6
BSG,31.96667,-89.20194,Jasper,FO-MS-O-NORTH CENTRAL,MPC,6
BSL,30.318975,-89.337999,Hancock,FO-MS-O-SOUTHWEST,MPC,6
BSP,31.1536361,-86.6348306,BLUE SPRING WMA,FO-AL-DOTHAN WEST,APC,54
BST,33.747943,-87.050546,Walker,FO-AL-MILLER SP,SCS,1
BSY,33.993097,-84.572896,Cobb,FO-GA-NW-COBB,GPC,1
BTE,32.0285,-88.2628,Choctaw,FO-AL-MOBILE NORTHWEST,APC,55
BTH,34.516221,-102.422165,Castro,FO-SPC-PLANT SUPPORT 1 BLT HUB,SPC,56
BTL,32.554532,-84.238631,Taylor,FO-GA-SW-MACON-WEST,GPC,57
BTN,30.81481,-83.7398,Brooks,FO-GA-SW-BAINBRIDGE,GPC,58
BTR,32.55611,-84.2725,Taylor,FO-GA-SW-MACON-WEST,SPC,57
BTT,32.11897,-88.21557,Choctaw,FO-AL-MOBILE NORTHWEST,APC,55
BUA,33.783986,-85.161522,Haralson,FO-GA-NW-PAULDING/POLK/HARALSON,GPC,1
BUC,33.261525,-87.100236,Tuscaloosa,FO-AL-BIRMINGHAM SOUTHWEST,APC,1
BUD,34.127146,-84.007929,Gwinnett,FO-GA-NE-CUMMING,GPC,1
BUE,33.827736,-84.36833,Fulton,FO-GA-NE-METRO NORTHEAST,GPC,1
BUF,37.39649,-101.0449,Haskell,FO-GA-SE-NATIONAL,APC,59
BUG,32.5556,-84.1867,Taylor,FO-GA-SW-MACON-WEST,GPC,57
BUH,33.279586,-87.799725,Tuscaloosa,FO-AL-FAYETTE,APC,1
BUK,33.855939,-84.383433,Fulton,FO-GA-NW-METRO NORTHWEST,GPC,1
BUL,33.968331,-84.378264,Fulton,FO-GA-NW-METRO NORTHWEST,GPC,1
BUN,31.203322,-81.492894,Glynn,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,33
BUP,33.5975,-84.482138,Fulton,FO-GA-NW-COWETA/FAYETTE/SOUTH FULTON,GPC,1
BUR,34.79361,-83.54028,Rabun,FO-GA-NE-CORNELIA,GPC,1
BUT,32.091001,-88.220279,Choctaw,FO-AL-SOUTH-MOBILE BLT HUB,APC,55
BUY,32.722053,-86.2365,Elmore,FO-AL-MONTGOMERY EAST,APC,1
BVW,31.193236,-84.549225,BELLVIEW,FO-GA-SW-BAINBRIDGE,GPC,60
BWD,41.880156,-87.872007,Cook,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,29
BWH,33.263438,-86.797255,Shelby,FO-AL-BIRMINGHAM EAST,SOLINC,1
BXL,31.783309,-82.340394,Appling,FO-GA-SE-BAXLEY,GPC,16
BXT,32.195335,-89.1751,Jasper,FO-MS-O-NORTH CENTRAL,MPC,6
BYR,32.5902,-83.7614,Peach,FO-GA-SW-MACON-WEST,GPC,1
CAA,31.2388,-84.1841,Mitchell,FO-GA-SW-BAINBRIDGE,GPC,61
CAD,31.95486,-87.26537,Wilcox,FO-AL-DEMOPOLIS,APC,62
CAE,33.108075,-86.732731,Shelby,FO-AL-BIRMINGHAM SOUTH,APC,1
CAG,40.416064,-91.121302,Hancock,FO-GA-SE-ILLINOIS-NORTH,SOGAS,63
CAH,33.46263,-86.713405,Jefferson,FO-AL-BIRMINGHAM NORTHEAST,APC,1
CAI,32.1837,-86.0797,Montgomery,FO-AL-EUFAULA,APC,1
CAL,33.143912,-86.74854,Shelby,FO-AL-BIRMINGHAM SOUTH,APC,1
CAM,31.993,-87.278108,Wilcox,FO-AL-DEMOPOLIS,APC,62
CAN,34.232663,-84.498972,Cherokee,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
CAO,34.232211,-84.499916,Cherokee,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
CAP,33.697172,-84.534196,Fulton,FO-GA-NW-COWETA/FAYETTE/SOUTH FULTON,GPC,1
CAS,33.6921,-84.4888,Fulton,FO-GA-NW-METRO SOUTHWEST,GPC,1
CAT,33.2096,-88.1338,Pickens,FO-AL-FAYETTE,APC,1
CAU,34.5487,-84.9256,Gordon,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
CAV,34.186397,-84.758413,Bartow,FO-GA-NW-BARTOW/CHEROKEE & NORTH,GPC,1
CAW,33.719525,-84.422128,Fulton,FO-GA-NW-METRO SOUTHWEST,GPC,1
CAY,34.906575,-83.414885,Rabun,FO-GA-NE-CORNELIA,GPC,1
CBA,33.206825,-86.57795,Shelby,FO-AL-BIRMINGHAM SOUTH,APC,1
CBO,33.99681,-84.52413,Cobb,FO-GA-NW-COBB,GPC,1
CBS,32.513668,-84.966765,Muscogee,FO-GA-SW-COLUMBUS,GPC,1
CBU,32.468035,-84.964534,Muscogee,FO-GA-SW-COLUMBUS,GPC,1
CCA,33.76276,-84.378685,Fulton,FO-GPCCORP-ATL CHILD CARE CTR BLT HUB,GPC,1
CCB,33.49991,-84.220204,Henry,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
CCC,33.500078,-84.219852,Henry,FO-GPCCORP-CCC HENRY COUNTY BLT HUB,GPC,1
CCG,33.545772,-84.407217,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,SOGAS,1
CCH,32.9447,-87.15221,Bibb,FO-AL-TUSCALOOSA,APC,1
CCL,33.611273,-84.387934,Clayton,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,GPC,1
CCO,33.2814,-85.7981,Clay,FO-AL-ASHLAND,APC,1
CCP,35.173554,-81.410751,Cleveland,FO-SPC-PLANT SUPPORT 3 BLT HUB,SPC,64
CCR,33.796402,-86.434871,St. Clair,FO-AL-BIRMINGHAM EAST,APC,1
CCS,33.54466,-84.40741,CLAYTON,FO-GA-NW-CLAYTON/HENRY/SPALDING/BUTTS,SOGAS,1
CCV,37.438603,-77.158307,Charles City,FO-GA-SE-NATIONAL,SOGAS,65
CDA,32.4087,-86.25925,Montgomery,FO-AL-MONTGOMERY EAST,APC,1
CDI,33.588034,-85.102431,Carroll,FO-GA-NW-CARROLL/HEARD/DOUGLAS,GPC,1
CDL,30.85778,-85.38306,Jackson,FO-FL-NEXTERA ENERGY,NextEra,11
CDN,32.8769444,-84.0869444,CULLODEN,FO-GA-SW-MACON-WEST,GPC,1
CDO,31.25093,-89.82932,Marion,FO-MS-O-CENTRAL,MPC,66
CDS,31.1798306,-84.9744639,CEDAR SPRINGS,FO-GA-SW-BAINBRIDGE,GPC,11
CDT,34.00861,-85.26778,Polk,FO-GA-NW-PAULDING/POLK/HARALSON,GPC,1
CDW,32.339639,-83.0453,Laurens,FO-GA-SW-PERRY,GPC,67
CEA,33.0512639,-88.2636056,COCHRANE REC AREA,FO-AL-FAYETTE,APC,1
CEC,32.2939,-86.0109,Montgomery,FO-AL-EUFAULA,APC,1
CED,32.263675,-82.885151,Laurens,FO-GA-SW-PERRY,GPC,68
CEE,33.777321,-84.389072,Fulton,FO-GPCCORP-GEORGIA RESOURCE CTR BLT HUB,GPC,1
CEM,33.5655,-85.0165,Carroll,FO-GA-NW-CARROLL/HEARD/DOUGLAS,GPC,1
CEN,33.76685,-84.36266,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,1
CET,34.000062,-85.294979,Polk,FO-GA-NW-PAULDING/POLK/HARALSON,GPC,1
CEV,32.92533,-87.19936,Bibb,FO-AL-TUSCALOOSA,APC,1
