Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,IsReachable,IsReachable2,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,State,Model,EoS,EoL,In Scope?,Repl Device,ReplaceNow,PrepareToReplace,Material Cost,Labor Cost,Device Cost,latitude,longitude,county,affiliate,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL,EoS_Date,Days_to_EoS
MSHMFROVG01,33.133.335.8,Router,Active,Cisco,VG224,QHK7388Q87M,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1215d:21h:44m:0s,Jan-23-26 02:10:19,Jan-23-26 02:10:19,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMF,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,31.347122,-89.3183,Forrest,FO-MS-O-CENTRAL,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSLSCROVG01,33.133.338.5,Router,Active,Cisco,VG224,QTX7737ZMDU,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1106d:23h:27m:0s,Jan-23-26 01:06:29,Jan-23-26 01:06:29,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSC,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,31.689103,-89.137195,Jones,FO-MS-O-NORTH CENTRAL,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSPDNGYPSESTACK01,33.133.35.230,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3335Y77W,27.2(2)E8,Bootstrap,1.0,10.0,9.0, ,Jan-23-26 02:03:45,Jan-23-26 02:03:45,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDN,MS,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,30.529797,-88.554772,Jackson,FO-MS-O-SOUTH CENTRAL,MPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
MSBSCSW0301,33.133.50.5,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC7978W7ZK,27.0(2)SE4,Bootstrap,0.0,10.0,10.0,228d:21h:20m:0s,Jan-23-26 02:00:38,Jan-23-26 02:00:38,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSC,MS,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,30.40083,-88.86833,Harrison,FO-MS-O-SOUTH,MPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
MSBSCROVG01,33.133.50.5,Router,Active,Cisco,VG224,QGL785377CQ,27.2(4)M9,37.3(7r)T7,1.0,26.0,25.0,228d:22h:7m:0s,Jan-23-26 01:42:21,Jan-23-26 01:42:21,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSC,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,30.40083,-88.86833,Harrison,FO-MS-O-SOUTH,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSCOAROVG01,33.133.55.5,Router,Active,Cisco,VG224,QTX7835ZNBS,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,229d:3h:2m:0s,Jan-23-26 02:10:41,Jan-23-26 02:10:41,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COA,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,30.384741,-89.096192,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSCOAROVG02,33.133.55.5,Router,Active,Cisco,VG224,QTX7835ZNBU,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,229d:2h:58m:0s,Jan-23-26 02:09:47,Jan-23-26 02:09:47,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COA,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,30.384741,-89.096192,Harrison,FO-MS-O-SOUTH CENTRAL,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSBSLROVG01,33.133.58.3,Router,Active,Cisco,VG224,QTX7777ZK9L,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,1114d:22h:5m:0s,Jan-23-26 02:10:37,Jan-23-26 02:10:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSL,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,30.318975,-89.337999,Hancock,FO-MS-O-SOUTHWEST,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSMDNROVG01,33.133.88.0,Router,Active,Cisco,VG224,QTX7879ZKQU,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,749d:6h:5m:0s,Jan-23-26 01:07:34,Jan-23-26 01:07:34,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDN,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,32.367296,-88.703056,Lauderdale,FO-MS-O-NORTH,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSMDNROVG02,33.133.88.8,Router,Active,Cisco,VG224,QTX7879ZKQW,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,749d:6h:9m:0s,Jan-23-26 02:06:52,Jan-23-26 02:06:52,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDN,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,32.367296,-88.703056,Lauderdale,FO-MS-O-NORTH,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
MSMDNROVG03,33.133.88.8,Router,Active,Cisco,VG224,QTX7838ZK3B,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,749d:5h:59m:0s,Jan-23-26 02:01:13,Jan-23-26 02:01:13,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDN,MS,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,32.367296,-88.703056,Lauderdale,FO-MS-O-NORTH,MPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
GAVNPSWIT01,33.135.331.0,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3787Y759,27.2(2)E7,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 01:39:11,Jan-23-26 01:39:11,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNP,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,33.144634,-81.762533,Burke,FO-SNC-VOGTLE 1 & 2 BLT HUB,GPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
GAVNPSWITTEST01,33.135.331.8,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3738Z79X,27.0(2)SE8,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 02:32:48,Jan-23-26 02:32:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNP,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,33.144634,-81.762533,Burke,FO-SNC-VOGTLE 1 & 2 BLT HUB,GPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
GAVNPSWMETTWR01,33.135.335.202,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3738Z7GW,27.0(2)SE8,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 02:34:58,Jan-23-26 02:34:58,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNP,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,33.144634,-81.762533,Burke,FO-SNC-VOGTLE 1 & 2 BLT HUB,GPC,False,,2025-10-31,-122.0,2020-10-30,-1949.0
GAVNPSWWLD0101,33.135.335.8,Switch,Active,Cisco,IE-3000-8TC,QOC3778Z7WU,27.0(2)EY3,Bootstrap,0.0,10.0,10.0, ,Jan-23-26 02:17:02,Jan-23-26 02:17:02,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNP,GA,IE-3000-8TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,Replace,Do Not Replace,4937.640000000001,1790.0,3557.53,33.144634,-81.762533,Burke,FO-SNC-VOGTLE 1 & 2 BLT HUB,GPC,False,,2025-06-30,-245.0,2020-06-30,-2071.0
GAVNPVGOVGS02,33.135.118.33,Voice Gateway,Active,Cisco,VG202,QCH7837R78M,27.2(4)M7,37.4(70r)YA3,1.0,4.0,3.0, ,Jan-23-26 02:15:05,Jan-23-26 02:15:05,Configuration unchanged,Voice Gateway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNP,GA,VG202,2013-11-16,2018-11-30,Yes,VG400-8FXS,Replace,Do Not Replace,2393.976,770.0,1904.98,33.144634,-81.762533,Burke,FO-SNC-VOGTLE 1 & 2 BLT HUB,GPC,False,,2018-11-30,-2649.0,2013-11-16,-4489.0
GAVNPSWVSCTRAINING,33.135.131.8,L3Switch,Active,Cisco,WS-C3560C-8PC-S,QOC7973Y3PB,27.0(2)SE7,Bootstrap,1.0,10.0,9.0, ,Jan-23-26 02:35:31,Jan-23-26 02:35:31,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNP,GA,WS-C3560C-8PC-S,2016-10-30,2021-10-31,Yes,C9200CX-8P-2X2G-E,Replace,Do Not Replace,1662.7800000000002,1540.0,956.65,33.144634,-81.762533,Burke,FO-SNC-VOGTLE 1 & 2 BLT HUB,GPC,False,,2021-10-31,-1583.0,2016-10-30,-3410.0
GAVNPSW34EABVG01,33.135.132.133,Router,Active,Cisco,VG224,QTX7839ZH9Y,27.2(4)M7,37.4(33r)T7,1.0,26.0,25.0,688d:0h:27m:0s,Jan-23-26 02:12:01,Jan-23-26 02:12:01,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNP,GA,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.144634,-81.762533,Burke,FO-SNC-VOGTLE 1 & 2 BLT HUB,GPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
GAWALROVG01,33.135.185.132,Router,Active,Cisco,VG224,QTX7738ZHH3,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,2099d:17h:30m:0s,Jan-23-26 01:03:08,Jan-23-26 01:03:08,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAL,GA,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.350637,-83.157004,Hancock,FO-GA-SW-MACON-EAST,GPC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
ALWDGROVG01,33.135.182.0,Router,Active,Cisco,VG224,QTX7833ZKE8,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,272d:3h:30m:0s,Jan-23-26 02:10:24,Jan-23-26 02:10:24,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDG,AL,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.211951,-87.566641,Tuscaloosa,FO-AL-TUSCALOOSA,APC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
ALWDGROVG02,33.135.182.8,Router,Active,Cisco,VG224,QTX7887ZK7H,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,272d:3h:22m:0s,Jan-23-26 01:10:30,Jan-23-26 01:10:30,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDG,AL,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.211951,-87.566641,Tuscaloosa,FO-AL-TUSCALOOSA,APC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
ALWDHROVG01,33.135.183.8,Router,Active,Cisco,VG224,QTX7833ZK7G,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,28d:2h:43m:0s,Jan-23-26 02:04:23,Jan-23-26 02:04:23,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDH,AL,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.230907,-87.559211,Tuscaloosa,FO-AL-FAYETTE,APC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
ALJCQROVG01,33.135.188.3,Router,Active,Cisco,VG224,QTX7539ZKQ9,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,297d:23h:38m:0s,Jan-23-26 02:09:11,Jan-23-26 02:09:11,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JCQ,AL,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.8536,-87.3061,Walker,FO-AL-MILLER SP,APC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
ALHLDROVG01,33.135.201.188,Router,Active,Cisco,VG224,QTX7833ZKBK,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,69d:3h:5m:0s,Dec-12-25 00:12:51,Jan-23-26 04:28:18,Problem accessing device,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLD,AL,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.255,-87.44945,Tuscaloosa,FO-AL-TUSCALOOSA,APC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
ALHLDROVG02,33.135.201.180,Router,Active,Cisco,VG224,QTX7833ZKBK,27.2(4)M9,37.4(33r)T7,1.0,26.0,25.0,279d:2h:20m:0s,Jan-23-26 02:09:37,Jan-23-26 02:09:37,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLD,AL,VG224,2015-04-24,2020-04-30,Yes,VG410-24FXS,Replace,Do Not Replace,4015.584,770.0,3256.32,33.255,-87.44945,Tuscaloosa,FO-AL-TUSCALOOSA,APC,False,,2020-04-30,-2132.0,2015-04-24,-3965.0
