Host Name,Device IP,Device Type,Device Status,Device Vendor,Device Model,Serial Number,Software Version,Firmware Version,Free Ports,Total Ports,Ports In Use,Uptime,Last Successful Snapshot,Last Snapshot Attempt,Last Snapshot Result,Device Type Standard,associatedWlcIp,deviceSupportLevel,dnsResolvedManagementAddress,errorCode,family,id,instanteTenantId,instanteUuid,interfaceCount,inventoryStatusDetail,lastDeviceResyncStartTime,lastManagedResyncReasons,lastUpdated,lastUpdateTime,lineCardCount,lineCardId,location,locationName,macAddress,managedAtleastOnce,managementState,memorySize,pendingSyncRequestsCount,platformId,reachabilityFailureReason,reachabilityStatus,reasonsForDeviceResync,reasonsForPendingSyncRequests,role,roleSource,serialNumber,series,snmpContact,softwareType,softwareVersion,syncRequestedByApp,tagCount,tunnelUdpPort,type,upTime,uptimeSeconds,vendor,waasDeviceMode,Unnamed: 44,clientCount,clientCount_2_4GHz,clientCount_5GHz,controllerIpAddress,controllerName,countryCode,ethernetMac,hreapEnabled,ipAddress,lwappUpTime,model,status,DateAdded,adminStatus,ArchiveDate,collectionStatus,collectionTime,creationTime,deviceType,managementStatus,manufacturer_part_name,manufacturer_part_partNumber,manufacturer_part_serialNumber,productFamily,reachability,Site Code Extracted,State,Model,EoS,EoL,In Scope?,Repl Device,Material Cost,Labor Cost,Device Cost,latitude,longitude,county,affiliate,Owner,Exception_Flag,Exception_Reason,EoL_Date,Days_to_EoL,EoS_Date,Days_to_EoS
GAKGBSW0101,33.1.28.88,Switch,Active,Cisco,WS-C2960C-8PC-L,QOC3777W778,27.0(2)SE8,Bootstrap,0.0,10.0,10.0,495d:4h:27m:0s,Jan-23-26 01:08:01,Jan-23-26 01:08:01,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGB,GA,WS-C2960C-8PC-L,2020-10-30,2025-10-31,Yes,C9200CX-8P-2X2G-E,1662.7800000000002,1540.0,956.65,30.82792,-81.55613,Camden,FO-GA-SE-HINESVILLE-BRUNSWICK,GPC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
TXSFKSW0201,33.1.28.88,Switch,Active,Cisco,WS-C2960X-24PS-L,"QOC3739W77T,QCW3737Z85S",27.2(2)E3,Bootstrap,3.0,57.0,54.0,21d:21h:53m:0s,Jan-23-26 01:42:12,Jan-23-26 01:42:12,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFK,TX,WS-C2960X-24PS-L,2022-10-31,2027-10-31,Yes,C9200-24P-E,2928.12,1540.0,1668.46,35.181852,-100.935375,Donley,FO-SPC-PLANT SUPPORT 1 BLT HUB,SPC,False,,2027-10-31,609.0,2022-10-31,-1217.0
CAHTASW0201,33.1.28.180,Switch,Active,Cisco,WS-C2960CX-8PC-L,QOC3883L8L3,27.2(4)E7,Bootstrap,0.0,12.0,12.0,75d:20h:5m:0s,Jan-23-26 01:30:21,Jan-23-26 01:30:21,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTA,CA,WS-C2960CX-8PC-L,2024-04-30,2029-04-30,,,108.0,1540.0,,36.228087,-119.803037,Kings,FO-SPC-PLANT SUPPORT 2 BLT HUB,SPC,False,,2029-04-30,1156.0,2024-04-30,-670.0
NCGRASW0101,33.1.28.88,Router,Active,Cisco,CGS-2520-24TC,QOC3773Z39X,27.0(2)ED2,Bootstrap,1.0,26.0,25.0,11d:16h:22m:0s,Jan-23-26 02:21:07,Jan-23-26 02:21:07,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRA,NC,CGS-2520-24TC,2022-01-11,2027-01-31,Yes,IE-4010-16S12P,4450.68,1790.0,3618.9,36.409095,-78.595254,Granville,FO-SPC-PLANT SUPPORT 3 BLT HUB,SPC,False,,2027-01-31,336.0,2022-01-11,-1510.0
TNRENROWN01,33.1.85.1,Router,Active,Cisco,ISR4331/K9,QLM3773Y7SK,27.09.03a,33.37(7r),1.0,4.0,3.0, ,Jan-23-26 02:35:09,Jan-23-26 02:35:09,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REN,TN,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,35.486244,-84.682519,McMinn,FO-GA-NW-FLOYD & NORTH,SOGAS,False,,2028-11-30,1005.0,2023-11-07,-845.0
TNRENSW0101,33.1.85.2,Switch,Active,Cisco,WS-C2960X-48FPS-L,QCW3738B7Z5,27.2(2)E8,Bootstrap,1.0,53.0,52.0, ,Jan-23-26 02:12:44,Jan-23-26 02:12:44,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REN,TN,WS-C2960X-48FPS-L,2022-10-31,2027-10-31,Yes,C9200-48P-E,5812.704,1540.0,3504.85,35.486244,-84.682519,McMinn,FO-GA-NW-FLOYD & NORTH,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
TNRENSW0101-OT,33.1.85.88,Switch,Active,Cisco,WS-C2960X-48TS-L,QCW3375B38W,27.2(2)E7,Bootstrap,0.0,53.0,53.0, ,Jan-23-26 01:11:33,Jan-23-26 01:11:33,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REN,TN,WS-C2960X-48TS-L,2022-10-31,2027-10-31,Yes,C9300-48T-E,6402.120000000001,1540.0,3996.14,35.486244,-84.682519,McMinn,FO-GA-NW-FLOYD & NORTH,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
GAXGZSW04,33.33.182.5,L3Switch,Active,Cisco,WS-C3850-24T,QOC7938X38M,28.22.24,IOS-XE,0.0,33.0,33.0,1742d:4h:24m:0s,Jan-23-26 02:08:44,Jan-23-26 02:08:44,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGZ,GA,WS-C3850-24T,2020-10-30,2025-10-31,Yes,C9300-24T-E,3824.472,1540.0,2415.37,33.76361,-84.38194,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
ALXAZSW04,33.33.183.5,L3Switch,Active,Cisco,WS-C3850-24T,QOC7938U7UK,28.22.24,IOS-XE,0.0,33.0,33.0,1130d:7h:38m:0s,Jan-23-26 02:14:30,Jan-23-26 02:14:30,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAZ,AL,WS-C3850-24T,2020-10-30,2025-10-31,Yes,C9300-24T-E,3824.472,1540.0,2415.37,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
ALICHROWN01,33.33.188.1,Router,Active,Cisco,ISR4331/K9,QLM3337W757,27.09.03a,33.37(7r),1.0,8.0,7.0,8d:2h:23m:0s,Jan-23-26 02:33:32,Jan-23-26 02:33:32,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICH,AL,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,30.510089,-88.227704,Mobile,FO-AL-SOUTH-MOBILE BLT HUB,APC,False,,2028-11-30,1005.0,2023-11-07,-845.0
GATLRROWN01,33.33.188.33,Router,Active,Cisco,ISR4331/K9,QLM355777KY,27.09.03a,37.3.7,1.0,8.0,7.0,591d:21h:16m:0s,Jan-23-26 01:00:49,Jan-23-26 01:00:49,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLR,GA,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,32.565404,-84.254349,Taylor,FO-GA-SW-MACON-WEST,SPC,False,,2028-11-30,1005.0,2023-11-07,-845.0
GAGMAROWN01,33.33.188.18,Router,Active,Cisco,ISR4331/K9,QLM3373W77D,28.08.02,33.7(3r),2.0,8.0,6.0, ,Jan-23-26 02:07:06,Jan-23-26 02:07:06,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMA,GA,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,33.72664,-84.35737,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,False,,2028-11-30,1005.0,2023-11-07,-845.0
ALTCGROWN01,33.33.188.25,Router,Active,Cisco,ISR4331/K9,QLM3838777G,27.09.03a,33.37(7r),2.0,5.0,3.0,188d:2h:14m:0s,Jan-23-26 01:43:17,Jan-23-26 01:43:17,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCG,AL,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,30.526312,-88.131419,Mobile,FO-AL-SOUTH-MOBILE BLT HUB,APC,False,,2028-11-30,1005.0,2023-11-07,-845.0
GASPGROWN01,33.33.188.38,Router,Active,Cisco,ISR4331/K9,QLM3787W7DS,27.09.03a,33.37(7r),2.0,9.0,7.0,194d:18h:48m:0s,Jan-23-26 01:39:23,Jan-23-26 01:39:23,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPG,GA,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,32.352404,-81.348465,Effingham,FO-GA-SE-SAVANNAH 2,GPC,False,,2028-11-30,1005.0,2023-11-07,-845.0
MSWLSROWN01,33.33.188.52,Router,Active,Cisco,ISR4331/K9,QLM355777RQ,27.09.03a,37.3.7,0.0,5.0,5.0, ,Jan-23-26 02:06:27,Jan-23-26 02:06:27,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WLS,MS,ISR4331/K9,2023-11-07,2028-11-30,Yes,C8300-1N1S-6T,12421.116,2060.0,5243.73,32.5953,-89.455538,Leake,FO-MS-O-NORTH CENTRAL,MPC,False,,2028-11-30,1005.0,2023-11-07,-845.0
GAHRTSWWAN01,33.33.188.88,Switch,Active,Cisco,IE-3000-4TC,QOC7857W3LQ,27.0(2)EY2,Bootstrap,0.0,6.0,6.0,1507d:1h:39m:0s,Jan-23-26 01:39:47,Jan-23-26 01:39:47,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRT,GA,IE-3000-4TC,2020-06-30,2025-06-30,Yes,IE-3300-8P2S-E,4937.640000000001,1790.0,3557.53,34.325398,-82.966561,Hart,FO-GA-NE-ATHENS EAST,GPC,False,,2025-06-30,-244.0,2020-06-30,-2070.0
GAXGPRODR01,33.330.8.58,Router,Active,Cisco,ASR1001-HX,TTM357877YM,27.27.04c,33.9(4r),14.0,17.0,3.0,1626d:18h:9m:0s,Jan-23-26 01:12:09,Jan-23-26 01:12:09,Configuration unchanged,Router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGP,GA,ASR1001-HX,2025-07-31,2030-07-31,,C8475-G2,46509.51672,8240.0,25127.1306,33.76361,-84.38194,Fulton,FO-GA-NE-METRO SOUTHEAST,GPC,False,,2030-07-31,1613.0,2025-07-31,-213.0
ALXAPSWAUDIT01,33.115.18.5,L3Switch,Active,Cisco,WS-C3850-48T,QOC3777X7MM,03.07.02E,IOS-XE,0.0,57.0,57.0,1130d:7h:8m:0s,Jan-23-26 01:14:48,Jan-23-26 01:14:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAP,AL,WS-C3850-48T,2020-10-30,2025-10-31,Yes,C9300-48T-E,6294.120000000001,1540.0,3996.14,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2025-10-31,-121.0,2020-10-30,-1948.0
ALXAPSWSFAO2102,33.115.83.33,Switch,Active,Cisco,Nexus9000 C93180YC-EX,QDO33337C85,20.3(7) [Maintenance Release], ,7.0,54.0,47.0, ,Jan-23-26 02:10:48,Jan-23-26 02:10:48,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAP,AL,Nexus9000 C93180YC-EX,2022-08-09,2027-08-31,,,0.0,0.0,,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2027-08-31,548.0,2022-08-09,-1300.0
ALXAPSWSFAO2201,33.115.83.11,Switch,Active,Cisco,Nexus9000 C93180YC-EX,QDO33337ZN7,20.3(7) [Maintenance Release], ,33.0,102.0,69.0, ,Jan-23-26 02:13:39,Jan-23-26 02:13:39,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAP,AL,Nexus9000 C93180YC-EX,2022-08-09,2027-08-31,,,0.0,0.0,,33.518603,-86.812287,Jefferson,FO-APCCORP-APC CORP HQ BLT HUB,APC,False,,2027-08-31,548.0,2022-08-09,-1300.0
ILGELSWIDF04,33.132.0.33,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QCW3737Z8Q7,QCW3738B77C",27.2(2)E8,Bootstrap,1.0,105.0,104.0,737d:1h:42m:0s,Jan-23-26 02:33:43,Jan-23-26 02:33:43,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEL,IL,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,41.88426,-88.029847,DuPage,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
ILGELSWOUTBLDG01,33.132.0.11,Switch,Active,Cisco,WS-C2960X-24PS-L,QCW7938Z7KD,27.0(2a)EX7,Bootstrap,1.0,29.0,28.0,740d:0h:59m:0s,Jan-23-26 01:01:00,Jan-23-26 01:01:00,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEL,IL,WS-C2960X-24PS-L,2022-10-31,2027-10-31,Yes,C9200-24P-E,2928.12,1540.0,1668.46,41.88426,-88.029847,DuPage,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
ILGELSW01MDF-A,33.132.0.5,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC7938Z79K,QOC7938Z78Q,QCW7938Z78L",27.0(2a)EX7,Bootstrap,1.0,157.0,156.0,942d:5h:45m:0s,Jan-23-26 02:02:23,Jan-23-26 02:02:23,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEL,IL,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,41.88426,-88.029847,DuPage,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
ILGELSW01MDF-B,33.132.0.8,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QOC7938Z79H,QOC7938Z7ZR,QOC7938Z7WN",27.0(2a)EX7,Bootstrap,1.0,157.0,156.0,942d:6h:5m:0s,Jan-23-26 02:21:26,Jan-23-26 02:21:26,New config id: 37080013,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEL,IL,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,41.88426,-88.029847,DuPage,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
ILGELSW01IDF-1,33.132.0.0,Switch,Active,Cisco,WS-C2960X-24PD-L,"QCW7935B7EU,QCW7935B7D8",27.0(2a)EX7,Bootstrap,1.0,57.0,56.0,116d:1h:14m:0s,Jan-23-26 02:21:05,Jan-23-26 02:21:05,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEL,IL,WS-C2960X-24PD-L,2022-10-31,2027-10-31,Yes,C9300-24P-E,4345.764,1540.0,2849.78,41.88426,-88.029847,DuPage,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
ILGELSW01IDF-2,33.132.0.8,Switch,Active,Cisco,WS-C2960X-48FPD-L,"QCW7938Z77X,QOC7938Z7ZK",27.0(2a)EX7,Bootstrap,0.0,105.0,105.0,111d:0h:41m:0s,Jan-23-26 01:11:01,Jan-23-26 01:11:01,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEL,IL,WS-C2960X-48FPD-L,2022-10-31,2027-10-31,Yes,C9300X-48HX-E,108.0,1540.0,,41.88426,-88.029847,DuPage,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
ILGELSW01IDF-3,33.132.0.8,Switch,Active,Cisco,WS-C2960X-24PD-L,"QCW7935B7QZ,QCW7935B7Z8",27.0(2a)EX7,Bootstrap,1.0,57.0,56.0,782d:23h:7m:0s,Jan-23-26 02:09:02,Jan-23-26 02:09:02,Configuration unchanged,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEL,IL,WS-C2960X-24PD-L,2022-10-31,2027-10-31,Yes,C9300-24P-E,4345.764,1540.0,2849.78,41.88426,-88.029847,DuPage,FO-SOGAS-IL REGIONS BLT HUB,SOGAS,False,,2027-10-31,609.0,2022-10-31,-1217.0
